207,Chitra,F:/songs/artist/Chitra/,India,5,0
208,"Kumar Sanu","F:/songs/artist/Kumar Sanu/",India,4,0
209,"Rahul Vaidya","F:/songs/artist/Rahul Vaidya/",India,4,0
212,"Ravi Teja","F:/songs/artist/Ravi Teja/",India,4,0
213,"Armaan Malik","F:/songs/artist/Armaan Malik/",India,4,0
214,"Neeti Mohan","F:/songs/artist/Neeti Mohan/",India,4,0
215,"Adriz Ghosh","F:/songs/artist/Adriz Ghosh/",India,4,0
216,"Abhay Jodhpurkar","F:/songs/artist/Abhay Jodhpurkar/",India,4,0
217,"Sayli Kamble","F:/songs/artist/Sayli Kamble/",India,4,0
218,"Babul Supriyo","F:/songs/artist/Babul Supriyo/",India,4,0
219,Poornima,F:/songs/artist/Poornima/,India,4,0
220,"Riya Mukherjee","F:/songs/artist/Riya Mukherjee/",India,4,0
221,"Ravi Basrur","F:/songs/artist/Ravi Basrur/",India,4,0
222,"Harman Kang","F:/songs/artist/Harman Kang/",India,6,0
223,Goldboy,F:/songs/artist/Goldboy/,India,6,0
224,"Ammy Virk","F:/songs/artist/Ammy Virk/",India,6,0
225,"Pari Pandher","F:/songs/artist/Pari Pandher/",India,6,0
226,"C. Sathya","F:/songs/artist/C. Sathya/",India,5,0
227,"Nikhita Gandhi","F:/songs/artist/Nikhita Gandhi/",India,4,0
228,"A.R. Rahman","F:/songs/artist/A.R. Rahman/",India,4,0
229,Vadivelu,F:/songs/artist/Vadivelu/,India,4,0
230,Pritam,F:/songs/artist/Pritam/,India,4,0
231,"Antara Mitra","F:/songs/artist/Antara Mitra/",India,4,0
232,"Vishal Bhardwaj","F:/songs/artist/Vishal Bhardwaj/",India,4,0
233,"Meiyang Chang","F:/songs/artist/Meiyang Chang/",India,4,0
234,"Ram Sampath","F:/songs/artist/Ram Sampath/",India,4,0
235,"Ginny Diwan","F:/songs/artist/Ginny Diwan/",India,4,0
236,Gursanj,F:/songs/artist/Gursanj/,India,6,0
237,"Harbhajan Mann","F:/songs/artist/Harbhajan Mann/",India,6,0
238,"Gulab Sidhu","F:/songs/artist/Gulab Sidhu/",India,6,0
239,"Sandhu Kuldeep","F:/songs/artist/Sandhu Kuldeep/",India,6,0
240,"Jashan Gill","F:/songs/artist/Jashan Gill/",India,6,0
241,"Oye Kunaal","F:/songs/artist/Oye Kunaal/",India,6,0
242,Narci,F:/songs/artist/Narci/,India,4,0
243,SAMR8,F:/songs/artist/SAMR8/,India,4,0
244,"Arjan Dhillon","F:/songs/artist/Arjan Dhillon/",India,6,0
245,"Karan Kanchan","F:/songs/artist/Karan Kanchan/",India,4,0
246,"Mika Singh","F:/songs/artist/Mika Singh/",India,4,0
248,"Sam C.S.",https://example.com/sam_cs.jpg,India,5,0
249,"The Lekhak","F:/songs/artist/The Lekhak/",India,4,0
250,Riyaazi,F:/songs/artist/Riyaazi/,India,4,0
251,"Simar Kaur","F:/songs/artist/Simar Kaur/",India,6,0
252,"Shilpi Raj","F:/songs/artist/Shilpi Raj/",India,4,0
26,"Om Jha","F:/songs/artist/Om Jha/",India,4,0
254,"Uma Lal Yadav","F:/songs/artist/Uma Lal Yadav/",India,4,0
223,"Jasbir Jassi","F:/songs/artist/Jasbir Jassi/",India,6,0
256,Bohemia,F:/songs/artist/Bohemia/,Pakistan,6,0
257,"Parampara Tandon","F:/songs/artist/Parampara Tandon/",India,4,0
258,"Kanishk Seth","F:/songs/artist/Kanishk Seth/",India,4,0
259,"Kavita Seth","F:/songs/artist/Kavita Seth/",India,4,0
260,"Lakhbir Singh","F:/songs/artist/Lakhbir Singh/",India,6,0
261,"Ranjit Bawa","F:/songs/artist/Ranjit Bawa/",India,6,0
262,"Pawan Singh","F:/songs/artist/Pawan Singh/",India,11,0
263,"Dino James","F:/songs/artist/Dino James/",India,4,0
264,"Amrinder Sandhu","F:/songs/artist/Amrinder Sandhu/",India,6,0
265,Vijay,F:/songs/artist/Vijay/,India,5,0
266,"M. M. Manasi","F:/songs/artist/M. M. Manasi/",India,5,0
267,"Thaman S","F:/songs/artist/Thaman S/",India,5,0
268,"Harshvardhan Wavre","F:/songs/artist/Harshvardhan Wavre/",India,4,0
269,"Tushar Joshi","F:/songs/artist/Tushar Joshi/",India,4,0
270,"Vignesh ShivN","F:/songs/artist/Vignesh ShivN/",India,5,0
271,"Nakash Aziz","F:/songs/artist/Nakash Aziz/",India,4,0
272,"B. Ajaneesh Loknath","F:/songs/artist/B. Ajaneesh Loknath/",India,4,0
