id,songId,artistId
156,10081,105
157,10101,274
158,10102,276
159,10107,152
160,10111,204
161,10127,279
162,10134,280
163,10137,282
164,10140,283
165,10141,283
166,10158,285
167,10169,286
168,10171,287
169,10173,4
170,10174,172
171,10179,274
172,10185,6
173,10243,292
174,10246,294
175,10253,295
176,10258,297
177,10259,299
178,10262,300
179,10266,105
180,10274,302
181,10284,304
182,10294,305
183,10295,307
184,10296,309
185,10305,16
186,10335,312
187,10342,314
188,10353,317
189,10354,1919
190,10360,320
191,10371,321
192,10378,323
193,10425,3
194,10439,326
195,10440,299
196,10448,329
197,10453,330
198,10477,83
199,10478,332
200,10489,333
201,10501,334
202,10514,299
203,10516,82
204,10519,166
205,10531,337
206,10541,338
207,10547,248
208,10568,340
209,10600,342
210,10608,343
211,10616,344
212,10635,344
213,10637,244
214,10640,242
215,10643,420
216,10648,304
217,10652,434
218,10675,172
219,10678,335
220,10688,121
221,10693,121
222,10698,22
223,10704,380
224,10719,1624
225,10725,274
226,10746,345
227,10750,346
228,10767,349
229,10783,351
230,10789,326
231,10792,300
232,10798,354
233,10808,257
234,10810,416
235,10815,356
236,10819,358
237,10831,17
238,10835,360
239,10843,362
240,10856,363
241,10872,365
242,10876,24
243,10879,304
244,10883,242
245,10886,166
246,10887,368
247,10919,347
248,10926,22
249,10931,1763
250,10933,162
251,10934,51
252,10935,248
253,10936,1467
254,10941,337
255,10957,629
256,10998,61
257,11016,131
258,11038,878
259,11066,1023
260,11070,155
261,11098,131
262,11102,61
263,11108,3
264,11119,518
265,11123,275
266,11127,204
267,11134,166
268,11135,248
269,11144,1275
270,11145,459
271,11155,337
272,11157,189
273,11163,1026
274,11164,1050
275,11166,344
276,11175,504
277,11186,1113
278,11191,330
279,11227,112
280,11244,372
281,11262,189
282,11272,376
283,11282,377
284,11289,378
285,11291,304
286,11295,380
287,11342,179
288,11346,383
289,11371,384
290,11381,22
291,11441,386
292,11451,170
293,11463,388
294,11471,389
295,11479,390
296,11483,392
297,11491,314
298,11503,3
299,11521,333
300,11528,16
301,11567,121
302,11570,394
303,11574,172
304,11575,3
305,11583,174
306,11611,46
307,11616,395
308,11641,115
309,11644,396
310,11665,397
311,11694,244
312,11731,121
313,11752,269
314,11781,203
315,11786,22
316,11799,403
317,11802,404
318,11813,208
319,11816,405
320,11817,405
321,11818,405
322,11822,51
323,11840,410
324,11841,189
325,11843,412
326,11850,415
327,11857,193
328,11860,61
329,11865,186
330,11868,59
331,11869,326
